date,market_return,prediction,position,trade,strategy_return_gross,cost,strategy_return_net,market_equity,strategy_equity
2024-03-21,-0.04171555960835869,0,-1,2.0,-0.04171555960835869,0.002,-0.04371555960835869,0.9591425606614021,0.957226192546983
2024-03-22,0.005296196937580593,1,1,2.0,-0.005296196937580593,0.002,-0.007296196937580593,0.9642358441647083,0.9502674986032534
2024-03-25,-0.008335146638479942,0,-1,2.0,-0.008335146638479942,0.002,-0.010335146638479942,0.9562321991245389,0.9404969218018004
2024-03-26,-0.006694768190020044,1,1,2.0,0.006694768190020044,0.002,0.004694768190020044,0.9498518276003552,0.9449227177470753
2024-03-27,0.020990726576326963,1,1,0.0,0.020990726576326963,0.0,0.020990726576326963,0.9700006368651137,0.9649669678675621
2024-03-28,-0.010615413375292971,1,1,0.0,-0.010615413375292971,0.0,-0.010615413375292971,0.9597581394851803,0.9547776223512042
2024-04-01,-0.008491644579171554,0,-1,2.0,-0.008491644579171554,0.002,-0.010491644579171554,0.9516427198776806,0.944812799978653
2024-04-02,-0.0070233269646650595,1,1,2.0,0.0070233269646650595,0.002,0.0050233269646650595,0.9449824379489565,0.9495708441939533
2024-04-03,0.004785842543745332,1,1,0.0,0.004785842543745332,0.0,0.004785842543745332,0.9495158144638703,0.9541262327297012
2024-04-04,-0.004904222910764212,0,-1,2.0,-0.004904222910764212,0.002,-0.006904222910764212,0.9448705772023145,0.9475614210732097
2024-04-05,0.004491809188508785,0,-1,0.0,-0.004491809188508785,0.0,-0.004491809188508785,0.9491243018506231,0.9433147008441034
2024-04-08,-0.006686022874812786,0,-1,0.0,0.006686022874812786,0.0,0.006686022874812786,0.9427996021618252,0.9496428560333788
2024-04-09,0.007216419357019694,0,-1,0.0,-0.007216419357019694,0.0,-0.007216419357019694,0.9496278475691359,0.9428145027085537
2024-04-10,-0.011201873174848621,0,-1,0.0,0.011201873174848621,0.0,0.011201873174848621,0.9390495955906528,0.9534351657975423
2024-04-11,0.042360986650005025,0,-1,0.0,-0.042360986650005025,0.0,-0.042360986650005025,0.9796832272566549,0.9138902065019581
2024-04-12,0.008589614874629106,1,1,2.0,-0.008589614874629106,0.002,-0.010589614874629106,0.9881345738213277,0.9042635225762014
2024-04-15,-0.02210608853380554,0,-1,2.0,-0.02210608853380554,0.002,-0.02410608853380554,0.9665304545191699,0.8827259028820879
2024-04-16,-0.019353208347783174,1,1,2.0,0.019353208347783174,0.002,0.017353208347783172,0.9480048325910854,0.898177710857113
2024-04-17,-0.008180820626132642,1,1,0.0,-0.008180820626132642,0.0,-0.008180820626132642,0.9402810117761444,0.8908598539642605
2024-04-18,-0.005730661013751161,1,1,0.0,-0.005730661013751161,0.0,-0.005730661013751161,0.9349079902269214,0.8857692383581387
2024-04-19,-0.012287952805783169,0,-1,2.0,-0.012287952805783169,0.002,-0.014287952805783169,0.9234901793934408,0.8732033931563687
2024-04-22,0.005078110369429852,0,-1,0.0,-0.005078110369429852,0.0,-0.005078110369429852,0.9281916917455647,0.8687804096548459
2024-04-23,0.006371303149682673,0,-1,0.0,-0.006371303149682673,0.0,-0.006371303149682673,0.9341243617452452,0.8632627423251559
2024-04-24,0.012622377201013056,0,-1,0.0,-0.012622377201013056,0.0,-0.012622377201013056,0.9459899602825408,0.8524347953461245
2024-04-25,0.005133926501818857,1,1,2.0,-0.005133926501818857,0.002,-0.007133926501818857,0.9508590913960043,0.846375228121201
2024-04-26,-0.0034787418581620363,1,1,0.0,-0.0034787418581620363,0.0,-0.0034787418581620363,0.9475570448872704,0.8434360225203024
2024-04-29,0.024505328961814017,1,1,0.0,0.024505328961814017,0.0,0.024505328961814017,0.9710640895720191,0.8643600274412623
2024-04-30,-0.018439913193260764,1,1,0.0,-0.018439913193260764,0.0,-0.018439913193260764,0.9533218375876757,0.8485673587835059
2024-05-01,-0.006065415768553344,0,-1,2.0,-0.006065415768553344,0.002,-0.008065415768553344,0.9475570448872703,0.8417508362232875
2024-05-02,0.02179264175430857,0,-1,0.0,-0.02179264175430857,0.0,-0.02179264175430857,0.9684334660810726,0.8236052995264366
2024-05-03,0.058095496739367945,0,-1,0.0,-0.058095496739367945,0.0,-0.058095496739367945,1.026361475848291,0.7771208815528683
2024-05-06,-0.00914840330665294,1,1,2.0,0.00914840330665294,0.002,0.00714840330665294,1.0170147262346114,0.7826959577383905
2024-05-07,0.003790066627367399,0,-1,2.0,0.003790066627367399,0.002,0.0017900666273673988,1.0208765935524258,0.7840982904117104
2024-05-08,0.001862107546004207,0,-1,0.0,-0.001862107546004207,0.0,-0.001862107546004207,1.0227793465763935,0.7826395736335874
2024-05-09,0.009964648263987682,0,-1,0.0,-0.009964648263987682,0.0,-0.009964648263987682,1.0330219301356387,0.7748795726153501
2024-05-10,-0.006914125198591255,0,-1,0.0,0.006914125198591255,0.0,0.006914125198591255,1.0259041222408725,0.7802557513633283
2024-05-13,0.017491438049413263,0,-1,0.0,-0.017491438049413263,0.0,-0.017491438049413263,1.0440065175689885,0.7667266231150635
2024-05-14,0.006154607988144351,0,-1,0.0,-0.006154607988144351,0.0,-0.006154607988144351,1.0504517821149144,0.762022213065483
2024-05-15,0.01214404983649866,0,-1,0.0,-0.01214404983649866,0.0,-0.01214404983649866,1.0632862946541335,0.7528241412969254
2024-05-16,0.0006322329371892261,0,-1,0.0,-0.0006322329371892261,0.0,-0.0006322329371892261,1.063958751823662,0.7523483315060463
2024-05-17,0.0001579350585661345,0,-1,0.0,-0.0001579350585661345,0.0,-0.0001579350585661345,1.0641268014815601,0.7522295187108476
2024-05-20,0.006143231020230612,0,-1,0.0,-0.006143231020230612,0.0,-0.006143231020230612,1.0706840991327515,0.747622564278448
2024-05-21,0.00683385688741008,0,-1,0.0,-0.00683385688741008,0.0,-0.00683385688741008,1.0780260594173605,0.7425308365536315
2024-05-22,-0.007567067123232773,0,-1,0.0,0.007567067123232773,0.0,0.007567067123232773,1.0698993503200225,0.7481709298041505
2024-05-23,-0.021282885320936813,1,1,2.0,0.021282885320936813,0.002,0.01928288532093681,1.0473694066718127,0.7627378185021627
2024-05-24,0.01645207019574224,1,1,0.0,0.01645207019574224,0.0,0.01645207019574224,1.0647433282777676,0.7753902284161236
2024-05-28,5.26089975590884e-05,1,1,0.0,5.26089975590884e-05,0.0,5.26089975590884e-05,1.0647993448304005,0.7754310219918028
2024-05-29,0.0015777923904969162,0,-1,2.0,0.0015777923904969162,0.002,-0.0004222076095030838,1.0664807032025008,0.7751036982178295
2024-05-30,0.00524145451916009,0,-1,0.0,-0.00524145451916009,0.0,-0.00524145451916009,1.0720852885623766,0.7710516560102151
2024-05-31,0.00500594985009956,0,-1,0.0,-0.00500594985009956,0.0,-0.00500594985009956,1.0774655491737861,0.7672014550851136
