date,market_return,prediction,position,trade,strategy_return_gross,cost,strategy_return_net,market_equity,strategy_equity
2024-03-21,0.0,0,-1,2.0,0.0,0.002,-0.002,1.0,0.9980019986673331
2024-03-22,0.004033399915744371,0,-1,0.0,-0.004033399915744371,0.0,-0.004033399915744371,1.0040415450203242,0.9939847644921218
2024-03-25,0.00468522019633587,1,1,2.0,-0.00468522019633587,0.002,-0.00668522019633587,1.008756737978275,0.9873619197232485
2024-03-26,-0.007876935918428052,1,1,0.0,-0.007876935918428052,0.0,-0.007876935918428052,1.0008420385091934,0.9796150838731238
2024-03-27,0.008544428374293455,1,1,0.0,0.008544428374293455,0.0,0.008544428374293455,1.0094303002645426,0.9880211963624859
2024-03-28,0.003053793447902987,1,1,0.0,0.003053793447902987,0.0,0.003053793447902987,1.0125176034955345,0.9910430206836094
2024-04-01,0.00326551461029285,0,-1,2.0,0.00326551461029285,0.002,0.0012655146102928498,1.0158293989381626,0.9922979940317775
2024-04-02,-0.0015484091821309372,0,-1,0.0,0.0015484091821309372,0.0,0.0015484091821309372,1.014257696502632,0.9938356675238001
2024-04-03,0.009474051539762952,0,-1,0.0,-0.009474051539762952,0.0,-0.009474051539762952,1.0239124889788107,0.9844644788444468
2024-04-04,-0.01330006988486567,1,1,2.0,0.01330006988486567,0.002,0.01130006988486567,1.0103845420538746,0.9956520875881821
2024-04-05,0.027777320574842966,0,-1,2.0,0.027777320574842966,0.002,0.025777320574842964,1.038843747767711,1.0216509819397104
2024-04-08,0.0006481667921116775,1,1,2.0,-0.0006481667921116775,0.002,-0.0026481667921116774,1.0395173100539785,1.018949058886662
2024-04-09,0.0025885563003378185,0,-1,2.0,0.0025885563003378185,0.002,0.0005885563003378185,1.0422116448504086,1.0195489442908436
2024-04-10,0.0015069094018642995,0,-1,0.0,-0.0015069094018642995,0.0,-0.0015069094018642995,1.0437833472859392,1.018013733403401
2024-04-11,0.016533742520170792,0,-1,0.0,-0.016533742520170792,0.0,-0.016533742520170792,1.061184448659633,1.0013205372327072
2024-04-12,-0.015566165935951603,0,-1,0.0,0.015566165935951603,0.0,0.015566165935951603,1.0447937763666997,1.0170292035333808
2024-04-15,-0.013577002419975346,0,-1,0.0,0.013577002419975346,0.0,0.013577002419975346,1.0307044704356343,1.0309315741938603
2024-04-16,-0.0016350785294987403,1,1,2.0,0.0016350785294987403,0.002,-0.00036492147050125974,1.0290205647199648,1.030555433762853
2024-04-17,-0.011190509048215303,1,1,0.0,-0.011190509048215303,0.0,-0.011190509048215303,1.01756949194526,1.0190872807686537
2024-04-18,-0.011428682278624262,1,1,0.0,-0.011428682278624262,0.0,-0.011428682278624262,1.0060062158904166,1.0075067571338692
2024-04-19,-0.025944630354616176,1,1,0.0,-0.025944630354616176,0.0,-0.025944630354616176,0.9802414306243689,0.981703541565593
2024-04-22,0.01477882204751945,1,1,0.0,0.01477882204751945,0.0,0.01477882204751945,0.9948358226187761,0.9963197022993627
2024-04-23,0.0129496869735391,1,1,0.0,0.0129496869735391,0.0,0.0129496869735391,1.0078024105375836,1.0093056309534973
2024-04-24,-0.01656734624660272,0,-1,2.0,-0.01656734624660272,0.002,-0.018567346246602723,0.9912433476730834,0.9907384092639999
2024-04-25,-0.016673704471388103,1,1,2.0,0.016673704471388103,0.002,0.014673704471388103,0.9748526753801503,1.0053833972266362
2024-04-26,0.03368654484295438,1,1,0.0,0.03368654484295438,0.0,0.03368654484295438,1.008251480612215,1.0398281960311628
2024-04-29,0.007432568410519159,1,1,0.0,0.007432568410519159,0.0,0.007432568410519159,1.0157732972980933,1.0475855831768823
2024-04-30,-0.03349007554568368,0,-1,2.0,-0.03349007554568368,0.002,-0.03549007554568368,0.9823183047746004,1.0110586965316553
2024-05-01,0.022599831917240992,1,1,2.0,-0.022599831917240992,0.002,-0.024599831917240994,1.0047712945980198,0.9864902513072714
2024-05-02,0.031455365813882176,1,1,0.0,0.031455365813882176,0.0,0.031455365813882176,1.0368790768976184,1.018013857126765
2024-05-03,0.008033933494385928,0,-1,2.0,0.008033933494385928,0.002,0.006033933494385928,1.0452428464413315,1.0241750544712998
2024-05-06,0.013283331052944075,0,-1,0.0,-0.013283331052944075,0.0,-0.013283331052944075,1.0592197777895405,1.0106605556627837
2024-05-07,0.00031790155490542276,1,1,2.0,-0.00031790155490542276,0.002,-0.0023179015549054226,1.0595565589326745,1.0083206568644874
2024-05-08,-0.004034374926923301,0,-1,2.0,-0.004034374926923301,0.002,-0.0060343749269233015,1.0552905217007136,1.002254393436275
2024-05-09,0.00794706169253194,1,1,2.0,-0.00794706169253194,0.002,-0.00994706169253194,1.063710392884496,0.9923343267051893
2024-05-10,-0.01071687425686526,1,1,0.0,-0.01071687425686526,0.0,-0.01071687425686526,1.0523716090412885,0.9817563869708665
2024-05-13,-0.00486560722449323,0,-1,2.0,-0.00486560722449323,0.002,-0.00686560722449323,1.0472636189514934,0.9750391186763768
2024-05-14,0.002676374471979152,1,1,2.0,-0.002676374471979152,0.002,-0.0046763744719791524,1.050070242679421,0.9704901153441241
2024-05-15,-0.005789979151338446,1,1,0.0,-0.005789979151338446,0.0,-0.005789979151338446,1.044007925148935,0.9648872337460306
2024-05-16,-0.012770048240180923,0,-1,2.0,-0.012770048240180923,0.002,-0.014770048240180923,1.030760657727063,0.9507405336580189
2024-05-17,0.005809980560830076,1,1,2.0,-0.005809980560830076,0.002,-0.007809980560830076,1.036766787966121,0.9433441888219093
2024-05-20,-0.006300279871404103,1,1,0.0,-0.006300279871404103,0.0,-0.006300279871404103,1.0302554003610034,0.9374195394892423
2024-05-21,-0.002127134911413819,0,-1,2.0,-0.002127134911413819,0.002,-0.004127134911413819,1.0280662372792744,0.9335586552565076
2024-05-22,-0.00010914608364288576,1,1,2.0,0.00010914608364288576,0.002,-0.0018908539163571144,1.0279540339991355,0.9317951000551371
2024-05-23,-0.011423056748417279,1,1,0.0,-0.011423056748417279,0.0,-0.011423056748417279,1.0162784690127944,0.9212117141401817
2024-05-24,-0.001658392028660058,1,1,0.0,-0.001658392028660058,0.0,-0.001658392028660058,1.0145944776457663,0.9196852500645192
2024-05-28,0.007715628907514878,1,1,0.0,0.007715628907514878,0.0,0.007715628907514878,1.0224529898234196,0.9268086455653605
2024-05-29,-0.000713895324699002,1,1,0.0,-0.000713895324699002,0.0,-0.000713895324699002,1.0217233258970821,0.9261472373226173
