date,market_return,prediction,position,trade,strategy_return_gross,cost,strategy_return_net,market_equity,strategy_equity
2024-03-21,-0.007693735006099767,0,-1,0.0,0.007693735006099767,0.0,0.007693735006099767,0.9923357860155841,1.0077234078347503
2024-03-22,0.021249464510559656,0,-1,0.0,-0.021249464510559656,0.0,-0.021249464510559656,1.0136480249782813,0.9865357356380448
2024-03-25,-0.004653629468144594,1,1,2.0,0.004653629468144594,0.002,0.0026536294681445936,1.008941841569008,0.9891571124806736
2024-03-26,0.003990135096724754,0,-1,2.0,0.003990135096724754,0.002,0.0019901350967247537,1.0129756982862599,0.9911276289129765
2024-03-27,0.0013264468353661445,1,1,2.0,-0.0013264468353661445,0.002,-0.0033264468353661446,1.0143202482354268,0.9878361730099354
2024-03-28,0.0003977237124660667,0,-1,2.0,0.0003977237124660667,0.002,-0.0016022762875339334,1.0147237476855153,0.9862546538875987
2024-04-01,0.02976522108761337,0,-1,0.0,-0.02976522108761337,0.0,-0.02976522108761337,1.0453812242324327,0.9573311585923315
2024-04-02,-0.005999162928171618,1,1,2.0,0.005999162928171618,0.002,0.003999162928171618,1.0391285859966346,0.961167347531276
2024-04-03,0.00232642859105525,0,-1,2.0,0.00232642859105525,0.002,0.00032642859105525,1.0415488586530357,0.9614811512487651
2024-04-04,-0.02874628961808407,1,1,2.0,0.02874628961808407,0.002,0.02674628961808407,1.01203444091743,0.9875441957556066
2024-04-05,0.0130022360182079,0,-1,2.0,0.0130022360182079,0.002,0.0110022360182079,1.0252790698804986,0.9984693805999721
2024-04-08,0.015292295550145123,1,1,2.0,-0.015292295550145123,0.002,-0.017292295550145123,1.0410784368383723,0.9813519790957602
2024-04-09,0.011237889382217559,0,-1,2.0,0.011237889382217559,0.002,0.009237889382217559,1.0528439470789939,0.9904596029653576
2024-04-10,-0.0029417978566524563,0,-1,0.0,0.0029417978566524563,0.0,0.0029417978566524563,1.0497512442956958,0.9933776249133959
2024-04-11,0.020726553449903293,0,-1,0.0,-0.020726553449903293,0.0,-0.020726553449903293,1.0717360168201657,0.9730002364783072
2024-04-12,-0.010594792462551593,1,1,2.0,0.010594792462551593,0.002,0.008594792462551593,1.060441135263959,0.9813990127446026
2024-04-15,-0.01836317542023395,0,-1,2.0,-0.01836317542023395,0.002,-0.02036317542023395,1.04114577294245,0.9616167112990266
2024-04-16,-0.0029751000029412038,1,1,2.0,0.0029751000029412038,0.002,0.0009751000029412037,1.0380528632894006,0.96255484106788
2024-04-17,0.006906180025972211,1,1,0.0,0.006906180025972211,0.0,0.006906180025972211,1.0452466554591529,0.9692254257013919
2024-04-18,0.003467385876845701,1,1,0.0,0.003467385876845701,0.0,0.003467385876845701,1.048877219596068,0.9725919373785731
2024-04-19,-0.012383194400036714,1,1,0.0,-0.012383194400036714,0.0,-0.012383194400036714,1.035968857413886,0.9606224058179699
2024-04-22,0.014112389198762221,0,-1,2.0,0.014112389198762221,0.002,0.012112389198762221,1.0506925016645257,0.9723285900827314
2024-04-23,0.012590019580974481,1,1,2.0,-0.012590019580974481,0.002,-0.014590019580974481,1.0640043632967962,0.9582452845893971
2024-04-24,0.005482233404764452,0,-1,2.0,0.005482233404764452,0.002,0.0034822334047644524,1.069853502082506,0.9615879348958978
2024-04-25,-0.01986545087399142,1,1,2.0,0.01986545087399142,0.002,0.01786545087399142,1.0488100903617414,0.9789215119589233
2024-04-26,0.09734775862146841,0,-1,2.0,0.09734775862146841,0.002,0.09534775862146841,1.1560442324765028,1.0768541292988911
2024-04-29,-0.034312836155032736,1,1,2.0,0.034312836155032736,0.002,0.032312836155032734,1.1170499049485207,1.1122186269412395
2024-04-30,-0.020491313569384807,0,-1,2.0,-0.020491313569384807,0.002,-0.02249131356938481,1.094393012601781,1.0874825848222618
2024-05-01,0.006612743752407816,0,-1,0.0,-0.006612743752407816,0.0,-0.006612743752407816,1.1016539340058598,1.0803150657557372
2024-05-02,0.016703398324560734,0,-1,0.0,-0.016703398324560734,0.0,-0.016703398324560734,1.120209840401021,1.062420003139371
2024-05-03,0.0037140211022275433,1,1,2.0,-0.0037140211022275433,0.002,-0.005714021102227544,1.1243780590218018,1.0563666238607188
2024-05-06,0.005129321458314952,0,-1,2.0,0.005129321458314952,0.002,0.003129321458314952,1.1301601720080605,1.0596775123198998
2024-05-07,0.01856523944037177,0,-1,0.0,-0.01856523944037177,0.0,-0.01856523944037177,1.1513378421974778,1.040185839206628
