date,market_return,prediction,position,trade,strategy_return_gross,cost,strategy_return_net,market_equity,strategy_equity
2024-03-15,-0.015841565086860347,0,-1,2.0,-0.015841565086860347,0.002,-0.01784156508686035,0.9842832525340046,0.98231665328372
2024-03-18,0.026258228518300494,0,-1,0.0,-0.026258228518300494,0.0,-0.026258228518300494,1.0104711057414948,0.9568584643525382
2024-03-19,-0.001490162489121634,0,-1,0.0,0.001490162489121634,0.0,0.001490162489121634,1.0089664609644133,0.9582854018638387
2024-03-20,0.018527895825433943,1,1,2.0,-0.018527895825433943,0.002,-0.02052789582543394,1.0278347414520392,0.9388143525440023
2024-03-21,0.004421349001823358,1,1,0.0,0.004421349001823358,0.0,0.004421349001823358,1.0323892186073447,0.9429743681080744
2024-03-22,0.0035778907180646653,1,1,0.0,0.0035778907180646653,0.0,0.0035778907180646653,1.0360896102610204,0.9463542702016707
2024-03-25,-0.012956949429711567,0,-1,2.0,-0.012956949429711567,0.002,-0.014956949429711567,1.0227516458418775,0.9323050260691316
2024-03-26,-0.014275703328268958,1,1,2.0,0.014275703328268958,0.002,0.012275703328268958,1.0082548688089812,0.9438202601744622
2024-03-27,-0.004101981604033268,0,-1,2.0,-0.004101981604033268,0.002,-0.006101981604033268,1.0041274968741734,0.9380786218106221
2024-03-28,-0.016908016912032177,1,1,2.0,0.016908016912032177,0.002,0.014908016912032177,0.9872924171488027,0.9521682772300476
2024-04-01,0.011812574371044873,1,1,0.0,0.011812574371044873,0.0,0.011812574371044873,0.9990240361474574,0.9634825294789685
2024-04-02,0.012177445239882352,0,-1,2.0,0.012177445239882352,0.002,0.010177445239882352,1.0112639709540965,0.973338388824045
2024-04-03,0.018663915685873004,0,-1,0.0,-0.018663915685873004,0.0,-0.018663915685873004,1.0303153500816638,0.9553405606218032
2024-04-04,0.008214974340920469,0,-1,0.0,-0.008214974340920469,0.0,-0.008214974340920469,1.0388142254712014,0.9475246103005485
2024-04-05,0.03163250589016518,0,-1,0.0,-0.03163250589016518,0.0,-0.03163250589016518,1.0721997730476431,0.9180211271323676
2024-04-08,-0.015460151526191783,1,1,2.0,0.015460151526191783,0.002,0.013460151526191783,1.0557508809006133,0.9304613665397024
2024-04-09,-0.004536133098733707,1,1,0.0,-0.004536133098733707,0.0,-0.004536133098733707,1.050972699811623,0.9262502283004963
2024-04-10,0.005652655305184288,1,1,0.0,0.005652655305184288,0.0,0.005652655305184288,1.0569303085096518,0.9315008275003264
2024-04-11,0.006385351297721055,1,1,0.0,0.006385351297721055,0.0,0.006385351297721055,1.0637007727187402,0.9374678179088237
2024-04-12,-0.02175798099053552,0,-1,2.0,-0.02175798099053552,0.002,-0.02375798099053552,1.0408067584700302,0.915457965403819
2024-04-15,-0.023061386214731305,1,1,2.0,0.023061386214731305,0.002,0.021061386214731304,1.0170789613665618,0.9349432524833422
2024-04-16,-0.000939870859842953,1,1,0.0,-0.000939870859842953,0.0,-0.000939870859842953,1.016123487569939,0.9340649393798276
2024-04-17,-0.011248413489225033,1,1,0.0,-0.011248413489225033,0.0,-0.011248413489225033,1.0047577535027534,0.9236170619000323
2024-04-18,0.015322027275660675,0,-1,2.0,0.015322027275660675,0.002,0.013322027275660675,1.020271224621301,0.9360038388851722
2024-04-19,-0.04218880348275509,0,-1,0.0,0.04218880348275509,0.0,0.04218880348275509,0.9781225548975763,0.9763375541929035
2024-04-22,0.0013708576892554358,1,1,2.0,-0.0013708576892554358,0.002,-0.003370857689255436,0.9794643412119056,0.9730519999200439
2024-04-23,0.02939388784249868,0,-1,2.0,0.02939388784249868,0.002,0.02739388784249868,1.008681911559796,1.000076135394242
2024-04-24,-0.005254714973782155,0,-1,0.0,0.005254714973782155,0.0,0.005254714973782155,1.0033954771325042,1.0053450817195433
2024-04-25,-0.1116166020081987,0,-1,0.0,0.1116166020081987,0.0,0.1116166020081987,0.8974239689300786,1.1240603581799289
2024-04-26,0.004317969800106326,0,-1,0.0,-0.004317969800106326,0.0,-0.004317969800106326,0.9013073967540127,1.1192171634092454
2024-04-29,-0.02436449015738077,1,1,2.0,0.02436449015738077,0.002,0.02236449015738077,0.8796128628824823,1.1445298826268606
2024-04-30,-0.005679264020944404,0,-1,2.0,-0.005679264020944404,0.002,-0.007679264020944404,0.8746314679157271,1.1357743963503593
2024-05-01,0.02075163295717607,0,-1,0.0,-0.02075163295717607,0.0,-0.02075163295717607,0.8929711299484969,1.1124480895124884
2024-05-02,0.0056534534653851255,0,-1,0.0,-0.0056534534653851255,0.0,-0.0056534534653851255,0.8980337979724217,1.106176660326007
2024-05-03,0.02300812608186531,1,1,2.0,-0.02300812608186531,0.002,-0.02500812608186531,0.9189354041616681,1.0788562943601636
2024-05-06,0.029905042849580028,1,1,0.0,0.029905042849580028,0.0,0.029905042849580028,0.9468312409633701,1.1116067999818464
2024-05-07,0.005482201489121869,0,-1,2.0,0.005482201489121869,0.002,0.0034822014891218687,0.9520362149244447,1.1154843861860766
2024-05-08,0.009268480291734927,0,-1,0.0,-0.009268480291734927,0.0,-0.009268480291734927,0.9609011626544995,1.105193306144177
2024-05-09,0.005949224144796312,0,-1,0.0,-0.005949224144796312,0.0,-0.005949224144796312,0.9666348175401129,1.098637782916236
2024-05-10,0.0016392497812037017,0,-1,0.0,-0.0016392497812037017,0.0,-0.0016392497812037017,0.9682206729046812,1.0968383164614162
2024-05-13,-0.01734821750242985,1,1,2.0,0.01734821750242985,0.002,0.01534821750242985,0.951568629349569,1.1138026828800522
2024-05-14,0.008171485794423769,0,-1,2.0,0.008171485794423769,0.002,0.006171485794423769,0.9593762152305461,1.120697754850089
2024-05-15,0.020328108140014393,0,-1,0.0,-0.020328108140014393,0.0,-0.020328108140014393,0.9790780911638822,1.0981460826963618
2024-05-16,-0.01740780592792983,0,-1,0.0,0.01740780592792983,0.0,0.01740780592792983,0.962181978558531,1.1174297528168102
2024-05-17,-0.0027932711183677504,1,1,2.0,0.0027932711183677504,0.002,0.0007932711183677504,0.9594980935814589,1.1183165292470874
2024-05-20,-0.006526641137196834,0,-1,2.0,-0.006526641137196834,0.002,-0.008526641137196835,0.9532561853575438,1.108821583050156
2024-05-21,-0.00902021149422731,1,1,2.0,0.00902021149422731,0.002,0.00702021149422731,0.9446962770880258,1.116633132355045
2024-05-22,0.006756831000349282,1,1,0.0,0.006756831000349282,0.0,0.006756831000349282,0.9511010437746933,1.1242035810387019
2024-05-23,-0.004284699328076942,0,-1,2.0,-0.004284699328076942,0.002,-0.006284699328076942,0.9470345797805003,1.1171604546961322
2024-05-24,0.026357451848616934,0,-1,0.0,-0.026357451848616934,0.0,-0.026357451848616934,0.9723278671319826,1.0880996189908996
2024-05-28,0.003548577500897199,1,1,2.0,-0.003548577500897199,0.002,-0.0055485775008971994,0.9757843771444672,1.0820789324954667
2024-05-29,-0.011653006467968116,1,1,0.0,-0.011653006467968116,0.0,-0.011653006467968116,0.9644795510178968,1.0695426442809701
2024-05-30,-0.01553019925598858,1,1,0.0,-0.01553019925598858,0.0,-0.01553019925598858,0.9496167016444832,1.0530607487305526
2024-05-31,-0.0004711251377719429,1,1,0.0,-0.0004711251377719429,0.0,-0.0004711251377719429,0.9491694187164792,1.052564742189974
2024-06-03,0.022578000919717133,1,1,0.0,0.022578000919717133,0.0,0.022578000919717133,0.9708435250017726,1.076599861363143
2024-06-04,-0.00104771186218213,0,-1,2.0,-0.00104771186218213,0.002,-0.00304771186218213,0.9698268933858037,1.0733236901436924
2024-06-05,0.03718352579254013,0,-1,0.0,-0.03718352579254013,0.0,-0.03718352579254013,1.0065673128010062,1.0341466157020271
2024-06-06,-0.002629425547927652,0,-1,0.0,0.002629425547927652,0.0,0.002629425547927652,1.0039240955873603,1.0368694053512366
2024-06-07,-0.0016215416577780863,1,1,2.0,0.0016215416577780863,0.002,-0.0003784583422219137,1.0022975099896831,1.0364770677213941
2024-06-10,0.01936662203201687,0,-1,2.0,0.01936662203201687,0.002,0.017366622032016867,1.0218978102189782,1.054634382461584
2024-06-11,0.009642873111883733,0,-1,0.0,-0.009642873111883733,0.0,-0.009642873111883733,1.0317995048028255,1.0445135522962754
2024-06-12,0.0026961580141965586,0,-1,0.0,-0.0026961580141965586,0.0,-0.0026961580141965586,1.0345851528929868,1.0417011717261835
2024-06-13,-0.009358997014509382,0,-1,0.0,0.009358997014509382,0.0,0.009358997014509382,1.0249476425972022,1.0514962142731397
2024-06-14,0.0011113993209245978,0,-1,0.0,-0.0011113993209245978,0.0,-0.0011113993209245978,1.0260874019577377,1.0503282312626292
2024-06-17,0.004887228697401833,0,-1,0.0,-0.004887228697401833,0.0,-0.004887228697401833,1.0311143997928507,1.0452075601268405
2024-06-18,-0.014193386912564696,1,1,2.0,0.014193386912564696,0.002,0.012193386912564696,1.0165827646770178,1.058030197127828
2024-06-20,0.004414749666985925,1,1,0.0,0.004414749666985925,0.0,0.004414749666985925,1.0210806442998135,1.0627114612898028
2024-06-21,-0.013889031728262917,1,1,0.0,-0.013889031728262917,0.0,-0.013889031728262917,1.0069968543391288,1.04805345646602
2024-06-24,0.008312435691977774,1,1,0.0,0.008312435691977774,0.0,0.008312435691977774,1.0154023375530568,1.0568016424188011
2024-06-25,0.02316088732799013,0,-1,2.0,0.02316088732799013,0.002,0.02116088732799013,1.0391944159600046,1.079402789706222
2024-06-26,0.004923065389330373,1,1,2.0,-0.004923065389330373,0.002,-0.0069230653893303734,1.0443230519688416,1.0719558212800295
2024-06-27,0.012472619935579857,0,-1,2.0,0.012472619935579857,0.002,0.010472619935579857,1.0574300659711087,1.083240996718328
2024-06-28,-0.02996967367656125,0,-1,0.0,0.02996967367656125,0.0,0.02996967367656125,1.026209405248016,1.1161967457759137
2024-07-01,0.0009119058120417022,0,-1,0.0,-0.0009119058120417022,0.0,-0.0009119058120417022,1.027145638382373,1.1151793434341166
2024-07-02,0.009505348347947766,1,1,2.0,-0.009505348347947766,0.002,-0.011505348347947766,1.03695556500236,1.1024223442007528
2024-07-03,0.0009025200176531657,1,1,0.0,0.0009025200176531657,0.0,0.0009025200176531657,1.0378918606063998,1.1034177515542665
2024-07-05,0.057069932082120786,0,-1,2.0,0.057069932082120786,0.002,0.055069932082120784,1.0988470907712604,1.1658871995395614
2024-07-08,-0.019809258326108813,1,1,2.0,0.019809258326108813,0.002,0.017809258326108815,1.0772939257916396,1.1868367803924837
2024-07-09,0.001284064342089096,1,1,0.0,0.001284064342089096,0.0,0.001284064342089096,1.07867812902051,1.1883617340418364
2024-07-10,0.00880998044469447,1,1,0.0,0.00880998044469447,0.0,0.00880998044469447,1.0882232466556077,1.198877431207939
2024-07-11,-0.04199614888840934,1,1,0.0,-0.04199614888840934,0.0,-0.04199614888840934,1.0434684042400675,1.1495717665162903
2024-07-12,-0.027345470843064084,0,-1,2.0,-0.027345470843064084,0.002,-0.029345470843064082,1.0153208770868392,1.1163272159508977
2024-07-15,-0.005447091912491324,0,-1,0.0,0.005447091912491324,0.0,0.005447091912491324,1.0098053663331517,1.1224245441781868
2024-07-16,-0.0129215726646875,1,1,2.0,0.0129215726646875,0.002,0.0109215726646875,0.9968410330861306,1.1347503715886649
2024-07-17,-0.0584336248007284,1,1,0.0,-0.0584336248007284,0.0,-0.0584336248007284,0.9402611794963259,1.0703429006334482
2024-07-18,0.02955948597886571,1,1,0.0,0.02955948597886571,0.0,0.02955948597886571,0.9684696770598521,1.1024539414410988
2024-07-19,0.00197353545237459,0,-1,2.0,0.00197353545237459,0.002,-2.646454762541021e-05,0.9703828735616749,1.1024247658823214
2024-07-22,0.022008979806477827,1,1,2.0,-0.022008979806477827,0.002,-0.02400897980647783,0.9919767687744044,1.076271880257523
2024-07-23,0.0026432146264336225,1,1,0.0,0.0026432146264336225,0.0,0.0026432146264336225,0.9946022445981687,1.0791204608799347
2024-07-24,-0.057744949449877674,1,1,0.0,-0.057744949449877674,0.0,-0.057744949449877674,0.9387957656799688,1.018571720338308
2024-07-25,-0.0171866148338208,1,1,0.0,-0.0171866148338208,0.0,-0.0171866148338208,0.9227989041568266,1.0012154951002883
2024-07-26,0.026744847379446494,1,1,0.0,0.026744847379446494,0.0,0.026744847379446494,0.9478120149814797,1.0283541425623657
2024-07-29,2.1420312368915014e-05,0,-1,2.0,2.1420312368915014e-05,0.002,-0.001978579687631085,0.9478323176283513,1.026321473506174
2024-07-30,-0.0054258014772159135,1,1,2.0,0.0054258014772159135,0.002,0.0034258014772159135,0.9427034942104664,1.0298434765232272
2024-07-31,0.024819551796036135,1,1,0.0,0.024819551796036135,0.0,0.024819551796036135,0.9663937470346425,1.055723567642012
2024-08-01,0.04712093275013411,0,-1,2.0,0.04712093275013411,0.002,0.04512093275013411,1.0130210557188968,1.104449820194096
2024-08-02,-0.01947548954490845,1,1,2.0,0.01947548954490845,0.002,0.01747548954490845,0.9934828503541878,1.1239202536496966
2024-08-05,-0.025751867307835918,1,1,0.0,-0.025751867307835918,0.0,-0.025751867307835918,0.9682254206005652,1.0953466986606892
2024-08-06,0.03786717775551154,1,1,0.0,0.03786717775551154,0.0,0.03786717775551154,1.0055924109330694,1.1376197154899796
2024-08-07,-0.010518692434852005,1,1,0.0,-0.010518692434852005,0.0,-0.010518692434852005,0.9950703299305058,1.1257161582769812
2024-08-08,0.041486037809819666,1,1,0.0,0.041486037809819666,0.0,0.041486037809819666,1.0372201241085188,1.1733999279031462
2024-08-09,0.015846245245262087,0,-1,2.0,0.015846245245262087,0.002,0.013846245245262087,1.0537870839558179,1.1897601132667088
2024-08-12,-0.0035214451008909685,1,1,2.0,0.0035214451008909685,0.002,0.0015214451008909685,1.0500827567121336,1.1915716456863927
2024-08-13,0.024108744181486442,0,-1,2.0,0.024108744181486442,0.002,0.022108744181486444,1.075706571154687,1.218209174511106
2024-08-14,-0.003373346042048921,1,1,2.0,0.003373346042048921,0.002,0.0013733460420489209,1.0720839542559506,1.219883346604983
2024-08-15,0.019867329366475776,1,1,0.0,0.019867329366475776,0.0,0.019867329366475776,1.0935963890024627,1.2443615236992476
2024-08-16,-0.018615437870497225,0,-1,2.0,-0.018615437870497225,0.002,-0.020615437870497223,1.073426927494251,1.218971082778184
