date,market_return,prediction,position,trade,strategy_return_gross,cost,strategy_return_net,market_equity,strategy_equity
2024-03-21,-0.016299696542812377,0,-1,0.0,0.016299696542812377,0.0,0.016299696542812377,0.9838324246915451,1.0164332612980547
2024-03-22,-0.01158171211632812,0,-1,0.0,0.01158171211632812,0.0,0.01158171211632812,0.9725036904795616,1.0282737328296196
2024-03-25,0.010481683435756076,0,-1,0.0,-0.010481683435756076,0.0,-0.010481683435756076,0.9827507758389596,1.017551982237119
2024-03-26,0.0287772826285837,0,-1,0.0,-0.0287772826285837,0.0,-0.0287772826285837,1.0114425279798027,0.9886869222291281
2024-03-27,0.012084083617363902,1,1,2.0,-0.012084083617363902,0.002,-0.014084083617363902,1.0237390304110803,0.9748597728725722
2024-03-28,-0.02272190773999231,0,-1,2.0,-0.02272190773999231,0.002,-0.024721907739992312,1.0007400069527124,0.9510548435394903
2024-04-01,-0.0032477284143495326,0,-1,0.0,0.0032477284143495326,0.0,0.0032477284143495326,0.9974951472604281,0.9541486325523278
2024-04-02,-0.05026651935105258,0,-1,0.0,0.05026651935105258,0.0,0.05026651935105258,0.9485938825512806,1.0033362519441176
2024-04-03,0.010447544054431742,0,-1,0.0,-0.010447544054431742,0.0,-0.010447544054431742,0.9585563097601871,0.9929084197194765
2024-04-04,0.016083269202606634,1,1,2.0,-0.016083269202606634,0.002,-0.018083269202606632,0.974097671883749,0.9751147581398699
2024-04-05,-0.03696743555877544,1,1,0.0,-0.03696743555877544,0.0,-0.03696743555877544,0.9387452491101936,0.939725422781097
2024-04-08,0.04783676362708771,0,-1,2.0,0.04783676362708771,0.002,0.04583676362708771,0.9847432091614581,0.9838018381680881
2024-04-09,0.022295607975213145,0,-1,0.0,-0.022295607975213145,0.0,-0.022295607975213145,1.0069452419177325,0.9621100919564549
2024-04-10,-0.02937344256551801,0,-1,0.0,0.02937344256551801,0.0,0.02937344256551801,0.9777979672437257,0.9907897252307374
2024-04-11,0.016399556773736196,0,-1,0.0,-0.016399556773736196,0.0,-0.016399556773736196,0.9939656294176522,0.9746737217303817
2024-04-12,-0.020541749097701737,0,-1,0.0,0.020541749097701737,0.0,0.020541749097701737,0.9737561168493477,0.9949022784382353
2024-04-15,-0.05757465973833702,0,-1,0.0,0.05757465973833702,0.0,0.05757465973833702,0.9192758303600731,1.0538645173746342
2024-04-16,-0.027435068682222955,0,-1,0.0,0.027435068682222955,0.0,0.027435068682222955,0.8943982542124976,1.0831776277890763
2024-04-17,-0.01062208397137564,0,-1,0.0,0.01062208397137564,0.0,0.01062208397137564,0.8849481595551933,1.0947445551878816
2024-04-18,-0.036155647217109545,0,-1,0.0,0.036155647217109545,0.0,0.036155647217109545,0.8535237934081964,1.1350499971747843
2024-04-19,-0.01939578390268632,0,-1,0.0,0.01939578390268632,0.0,0.01939578390268632,0.8371285436986311,1.1572800695771672
2024-04-22,-0.0345935559693179,0,-1,0.0,0.0345935559693179,0.0,0.0345935559693179,0.8086644659588985,1.1980150236325888
2024-04-23,0.018345226676437152,0,-1,0.0,-0.018345226676437152,0.0,-0.018345226676437152,0.8236365117814771,1.176237533716353
2024-04-24,0.11387415621830609,0,-1,0.0,-0.11387415621830609,0.0,-0.11387415621830609,0.9229762125855213,1.0496393797438393
2024-04-25,0.04845814470471284,1,1,2.0,-0.04845814470471284,0.002,-0.05045814470471284,0.9688033082541135,0.9979905342949859
2024-04-26,-0.011168015552988686,0,-1,2.0,-0.011168015552988686,0.002,-0.013168015552988686,0.9580438903431134,0.9849351249805623
2024-04-29,0.14242723171122051,0,-1,0.0,-0.14242723171122051,0.0,-0.14242723171122051,1.1046908744521178,0.8541856375340765
2024-04-30,-0.05710084205665045,0,-1,0.0,0.05710084205665045,0.0,0.05710084205665045,1.0433792266784017,0.9043797832509519
2024-05-01,-0.018113707174260838,0,-1,0.0,0.018113707174260838,0.0,0.018113707174260838,1.024649901746465,0.9209107201041256
2024-05-02,0.00011105007606901516,0,-1,0.0,-0.00011105007606901516,0.0,-0.00011105007606901516,1.0247636955142845,0.9208084585767855
2024-05-03,0.006533843535574036,0,-1,0.0,-0.006533843535574036,0.0,-0.006533843535574036,1.0314812630309065,0.9148116526123315
2024-05-06,0.01951143790875135,1,1,2.0,-0.01951143790875135,0.002,-0.021511437908751353,1.0518045693670308,0.8953428898351123
2024-05-07,-0.03834210509362053,1,1,0.0,-0.03834210509362053,0.0,-0.03834210509362053,1.0122395186818964,0.8616633567273422
2024-05-08,-0.017530851194269642,1,1,0.0,-0.017530851194269642,0.0,-0.017530851194269642,0.9946487394864548,0.8466893020997072
2024-05-09,-0.015864649448707812,1,1,0.0,-0.015864649448707812,0.0,-0.015864649448707812,0.9789934967296019,0.8333628622845368
2024-05-10,-0.020562350450525728,1,1,0.0,-0.020562350450525728,0.0,-0.020562350450525728,0.959068642311789,0.8164019388834108
2024-05-13,0.020097034145307512,1,1,0.0,0.020097034145307512,0.0,0.020097034145307512,0.9785380610619097,0.8329751751621173
2024-05-14,0.03239754278801776,1,1,0.0,0.03239754278801776,0.0,0.03239754278801776,1.0107594179110002,0.8604034290372972
2024-05-15,-0.020254418706909572,1,1,0.0,-0.020254418706909572,0.0,-0.020254418706909572,0.9904930084587861,0.8431517587802961
2024-05-16,0.004873391179277019,1,1,0.0,0.004873391179277019,0.0,0.004873391179277019,0.9953318495552578,0.8472707958114578
2024-05-17,0.01487402019069651,0,-1,2.0,0.01487402019069651,0.002,0.01287402019069651,1.0102470853593983,0.858249092924545
2024-05-20,-0.014245067870223688,0,-1,0.0,0.014245067870223688,0.0,0.014245067870223688,0.9959580627401508,0.8705624032541057
2024-05-21,0.06446711975223281,0,-1,0.0,-0.06446711975223281,0.0,-0.06446711975223281,1.0622794159930107,0.816210529532725
2024-05-22,-0.035399542384592496,1,1,2.0,0.035399542384592496,0.002,0.033399542384592494,1.0253330118152681,0.8439319521663858
2024-05-23,-0.036007818288810785,0,-1,2.0,-0.036007818288810785,0.002,-0.03800781828881079,0.9890698045717996,0.812457859527129
2024-05-24,0.03116576011599187,0,-1,0.0,-0.03116576011599187,0.0,-0.03116576011599187,1.0203802900855055,0.7875274974960387
2024-05-28,-0.013989415788236143,0,-1,0.0,0.013989415788236143,0.0,0.013989415788236143,1.0062051480995489,0.7986219687536504
2024-05-29,-0.0031733327174769638,1,1,2.0,0.0031733327174769638,0.002,0.0011733327174769637,1.0030171852911742,0.7995595679888474
2024-05-30,0.014648923152829736,0,-1,2.0,0.014648923152829736,0.002,0.012648923152829736,1.0178184535965522,0.8097373689318165
2024-05-31,-0.003978997402597566,1,1,2.0,0.003978997402597566,0.002,0.001978997402597566,1.0137766032021742,0.8113414237683821
2024-06-03,-0.010102569596006488,1,1,0.0,-0.010102569596006488,0.0,-0.010102569596006488,1.0035864147266857,0.8031860550214057
2024-06-04,-0.008659479988969872,0,-1,2.0,-0.008659479988969872,0.002,-0.010659479988969872,0.9949333976369465,0.7946699784504837
2024-06-05,0.0013151256990527008,0,-1,0.0,-0.0013151256990527008,0.0,-0.0013151256990527008,0.996242720890642,0.7936255744513571
2024-06-06,0.016660454613497404,0,-1,0.0,-0.016660454613497404,0.0,-0.016660454613497404,1.0129796125000803,0.7805129460685529
2024-06-07,-0.0025885260992180074,1,1,2.0,0.0025885260992180074,0.002,0.0005885260992180073,1.0103608791272174,0.7809724335050037
2024-06-10,-0.02101026729322036,0,-1,2.0,-0.02101026729322036,0.002,-0.02301026729322036,0.9893543758568192,0.7632072240129758
2024-06-11,-0.01817434057762428,0,-1,0.0,0.01817434057762428,0.0,0.01817434057762428,0.9715359222602673,0.7772048253306811
2024-06-12,0.03811347747393242,0,-1,0.0,-0.03811347747393242,0.0,-0.03811347747393242,1.009279230274632,0.7481402411870796
2024-06-13,0.028799010597446485,1,1,2.0,-0.028799010597446485,0.002,-0.030799010597446483,1.0387680599830402,0.7254494820721493
2024-06-14,-0.024746085007725318,1,1,0.0,-0.024746085007725318,0.0,-0.024746085007725318,1.0133780644183912,0.7077177478749219
2024-06-17,0.051619109593938894,0,-1,2.0,0.051619109593938894,0.002,0.04961910959393889,1.067061360205572,0.7437198830096431
2024-06-18,-0.013860022086213543,1,1,2.0,0.013860022086213543,0.002,0.011860022086213543,1.0523738856680136,0.7525929305110098
2024-06-20,-0.017957490517488288,0,-1,2.0,-0.017957490517488288,0.002,-0.01995749051748829,1.033644560736077,0.7377219515387894
2024-06-21,0.00789947152070144,0,-1,0.0,-0.00789947152070144,0.0,-0.00789947152070144,1.041842142158124,0.7319172950367557
