isin,symbol,name,market,country,currency,instrument_id
AN8068571086,,,,,,1111381
BE0160342011,ALCOI,COIL,ALXP,FRA,EUR,1129336
BE0948608451,MLPHO,PHOTONIKE CAPITAL,XMLI,FRA,EUR,1125621
BE0974269012,ALDV,ADC SIIC,XPAR,FRA,EUR,1140635
BE0974299316,ALINV,INVIBES ADVERTISING N.V.,ALXP,FRA,EUR,1188783
BE0974310428,XFAB,X-FAB SILICON FOUNDRIES SE,XPAR,FRA,EUR,1264874
BE0974328602,MLMIB,METRICS IN BALANCE,XMLI,FRA,EUR,1418487
BE0974334667,ALLAM,LLAMA GROUP,ALXP,FRA,EUR,1481512
BE0974387194,ALVET,THERAVET,ALXP,FRA,EUR,2528975
CH0008175645,TVRB,TELEVERBIER,XPAR,FRA,EUR,1110155
CH0308403085,GNRO,GENEURO,XPAR,FRA,EUR,1178206
CI0000053161,FORE,FORESTIERE EQUATORIALE,XPAR,FRA,EUR,1110163
DE000A11Q133,MLHK,HK,XMLI,FRA,EUR,1163297
ES0105029005,ALPHI,FACEPHI,ALXP,FRA,EUR,1961670
ES0105089009,ALLLN,LLEIDA,ALXP,FRA,EUR,1599386
ES0105118006,ALQP,QUADPACK,ALXP,FRA,EUR,1179706
ES0105425005,ALKOM,PLASTICOS COMPUESTOS S.A. (KOMPUESTOS),ALXP,FRA,EUR,2573251
ES0105463006,ALMKS,MAKING SCIENCE GROUP S.A.,ALXP,FRA,EUR,2284721
ES0105590006,MLIFS,IMPULSE FITNESS SOLUTIONS S.A.,XMLI,FRA,EUR,2573250
ES0105697009,MLMUT,MUTTER VENTURES S.A.,XMLI,FRA,EUR,3372333
ES0109429037,ALISP,ISPD NETWORK,ALXP,FRA,EUR,1110195
FI0009000681,NOKIA,NOKIA,XPAR,FRA,EUR,1169404
FR0000030074,MALT,MALTERIES FCO-BEL.,XPAR,FRA,EUR,1110201
FR0000030611,GALIM,GALIMMO,XPAR,FRA,EUR,1110203
FR0000030769,MLPLC,PLACOPLATRE,XMLI,FRA,EUR,1110204
FR0000031023,ELEC,ELEC.STRASBOURG,XPAR,FRA,EUR,1110206
FR0000031577,VIRP,VIRBAC,XPAR,FRA,EUR,1110209
FR0000031775,VCT,VICAT,XPAR,FRA,EUR,1110211
FR0000031866,MLTRA,TRAMWAYS DE ROUEN,XMLI,FRA,EUR,1110212
FR0000032526,GBT,GUERBET,XPAR,FRA,EUR,1110216
FR0000032658,SDG,SYNERGIE,XPAR,FRA,EUR,1110217
