date,isin,symbol,company,source,url,text
2026-02-01,FR0000125007,SGO,SAINT GOBAIN,Simply Wall St.,https://finance.yahoo.com/news/saint-gobain-highlights-workforce-sustainability-210901427.html,"Saint Gobain Highlights Workforce And Sustainability Priorities In Life Sciences. Compagnie de Saint-Gobain (ENXTPA:SGO) is spotlighting employee development and sustainability initiatives at its Life Sciences facility. The company is using this site to highlight workforce training, skills development and its environmental commitments. This update ties into Saint-Gobain’s broader focus on long term environmental goals and responsible operations. For you as an investor, this matters because it gives a window into how Saint-Gobain, a diversified materials and solutions..."
2026-02-02,FR0000125007,SGO,SAINT GOBAIN,Simply Wall St.,https://finance.yahoo.com/news/assessing-saint-gobain-enxtpa-sgo-131056742.html,"Assessing Saint‑Gobain (ENXTPA:SGO) Valuation After Recent Share Price Pullback And Longer Term Gains. Compagnie de Saint-Gobain (ENXTPA:SGO) has attracted fresh attention after recent share price moves, with the stock showing a 4.4% decline over the past month but a positive return over the past 3 months. See our latest analysis for Compagnie de Saint-Gobain. At a share price of €83.22, Compagnie de Saint-Gobain has seen short term share price weakness with a 30 day share price return of 4.37% decline, while the 3 year total shareholder return of 66.24% points to a much stronger longer term..."
2026-02-02,FR0000125007,SGO,SAINT GOBAIN,Simply Wall St.,https://finance.yahoo.com/news/compagnie-saint-gobain-enxtpa-sgo-080944436.html,"Is Compagnie De Saint-Gobain (ENXTPA:SGO) Fairly Priced After Recent Share Price Weakness?. If you are wondering whether Compagnie de Saint-Gobain at €83.22 is still attractively priced or starting to look stretched, you are in the right place. The stock has seen a 0.8% decline over the last week, a 4.4% decline over the last month, a 4.4% decline year to date and a 2.2% decline over the last year, while still showing a 66.2% return over three years and 121.8% over five years. Recent news coverage has focused on Compagnie de Saint-Gobain's position as a major building materials..."
2026-02-04,FR0000045072,ACA,CREDIT AGRICOLE,GuruFocus.com,https://finance.yahoo.com/news/credit-agricole-misses-q4-profit-202457811.html,"Credit Agricole Misses Q4 Profit as Costs Rise, Shares Slide Up to 5%. Higher Italian restructuring costs and elevated provisions weighed on earnings despite resilient asset gathering performance."
2026-02-04,FR0000045072,ACA,CREDIT AGRICOLE,GuruFocus.com,https://finance.yahoo.com/news/credit-agricole-sa-crarf-full-170236694.html,"Credit Agricole SA (CRARF) Full Year 2025 Earnings Call Highlights: Strong Client Acquisition .... Credit Agricole SA (CRARF) reports stable net income and robust client growth, while navigating tax surcharges and market headwinds."
2026-02-04,FR0000045072,ACA,CREDIT AGRICOLE,Zacks,https://finance.yahoo.com/news/credit-agricole-sa-crary-4-170005475.html,Credit Agricole SA (CRARY) Is Up 4.66% in One Week: What You Should Know. Does Credit Agricole SA (CRARY) have what it takes to be a top stock pick for momentum investors? Let's find out.
2026-02-04,FR0000045072,ACA,CREDIT AGRICOLE,Investing.com,https://finance.yahoo.com/news/cr-dit-agricole-q4-profit-065921309.html,Crédit Agricole Q4 profit drops 24% on Banco BPM charge despite record revenues. Investing.com -- Crédit Agricole SA (EPA:CAGR) reported fourth-quarter net income fell 24% to €1.63 billion as a €607 million first-consolidation charge from its Banco BPM stake overshadowed record annual revenues and a proposed dividend increase.
2026-02-06,FR0000045072,ACA,CREDIT AGRICOLE,Simply Wall St.,https://finance.yahoo.com/news/recent-analyst-moves-reframing-cr-150841491.html,"How Recent Analyst Moves Are Reframing The Crédit Agricole (ENXTPA:ACA) Investment Story. What Is Driving the New Fair Value for Crédit Agricole? Crédit Agricole’s Fair Value Estimate has shifted from €19.15 to about €20.01, a modest uplift that lines up with a series of refreshed price targets from major research houses. Recent target moves of €0.40 and €1 from JPMorgan, along with a similar €1 adjustment from another bank and one upgrade in rating, point to a slightly more supportive tone around how the bank is tracking against expectations. If you follow this stock, it is worth..."
2026-02-13,FR0000120628,CS,AXA,Life Insurance International,https://www.lifeinsuranceinternational.com/news/axa-dcp-partners-planet-labs/,"AXA DCP partners with Planet Labs for near-real-time disaster monitoring. Under the agreement, AXA DCP will incorporate data from Planet’s high and medium-resolution satellites, along with its frequently updated Basemaps, into an AI-driven risk management system."
2026-02-15,FR0000125007,SGO,SAINT GOBAIN,Simply Wall St.,https://finance.yahoo.com/news/saint-gobain-london-delisting-refocuses-120744023.html,"Saint Gobain London Delisting Refocuses Liquidity Dividend And Growth Outlook. Compagnie de Saint-Gobain has delisted its ordinary shares from the London Stock Exchange. The company is keeping its primary listing on Euronext Paris under the ticker ENXTPA:SGO. The move affects where and how international investors can access the shares. Compagnie de Saint-Gobain, trading at €90.86 under ENXTPA:SGO, now concentrates its listing on Euronext Paris after stepping away from the London Stock Exchange. The stock has returned 8.2% over the past month and 81.5% over 3 years,..."
2026-02-18,FR0000125486,DG,VINCI,Simply Wall St.,https://finance.yahoo.com/news/vinci-enxtpa-dg-pricing-fair-061009952.html,"Is Vinci (ENXTPA:DG) Pricing Fair After Strong Five Year Share Price Performance. If you are wondering whether Vinci's share price still reflects fair value or if the market is missing something, you are not alone. The stock last closed at €137.35, with returns of 3.3% over 7 days, 16.9% over 30 days, 13.4% year to date, 29.9% over 1 year, 42.0% over 3 years and 88.1% over 5 years. These figures may have changed how investors think about its risk and reward profile. Recent coverage around Vinci has focused on its position as a major player in capital goods and..."
2026-02-25,FR0000125486,DG,VINCI,Simply Wall St.,https://finance.yahoo.com/news/assessing-vinci-enxtpa-dg-valuation-231612348.html,"Assessing Vinci (ENXTPA:DG) Valuation After A Strong Month Of Share Price Momentum. What Vinci’s Recent Share Performance Tells You Vinci (ENXTPA:DG) has drawn attention after a recent share move, with the stock showing a 0.1% return over the past day, 3.0% over the week, and a 21.1% gain over the past month. See our latest analysis for Vinci. Those short term moves sit within a stronger trend, with a 30 day share price return of 21.1% and a year to date share price return of 17.1%, while the 1 year total shareholder return is 33.3%. This suggests momentum has been building..."
2026-02-25,FR0000125486,DG,VINCI,Simply Wall St.,https://finance.yahoo.com/news/vinci-enxtpa-dg-investment-story-131331611.html,"How The Vinci (ENXTPA:DG) Investment Story Is Shifting As Analyst Views Diverge. Vinci’s fair value estimate has been adjusted from €135.87 to €140.14, and several banks have also lifted their individual price targets, including moves of €5 to €8 and a shift to €139. These changes sit alongside a mix of upgrades to Buy and Equal Weight calls, as well as an ongoing Underweight rating from JPMorgan, which highlights that analysts are split on how much upside is left at current levels. As you read on, you will see what is driving these differing views and how you can track..."
2026-02-26,FR0000125007,SGO,SAINT GOBAIN,Investing.com,https://finance.yahoo.com/news/saint-gobain-reports-stable-2025-180007112.html,"Saint-Gobain shares down on softer 2026 margin outlook. Investing.com -- Shares in Compagnie de Saint Gobain SA (EPA:SGOB) fell more than 2% on Friday after the company guided for a 2026 EBITDA margin of “more than 15%”, below the 15.5% it delivered in 2025, overshadowing full-year results that slightly beat on operating income."
2026-02-27,FR0000120628,CS,AXA,Life Insurance International,https://www.lifeinsuranceinternational.com/news/axa-2025-earnings-growth/,Gains in core segments propel 2025 earnings growth for AXA. The company’s total GWP and other revenues climbed 6% to €116bn ($137.07bn).
2026-02-28,FR0000124141,VIE,VEOLIA ENVIRON.,Simply Wall St.,https://finance.yahoo.com/news/veolia-environnement-enxtpa-vie-still-150948463.html,"Is Veolia Environnement (ENXTPA:VIE) Still At An Attractive Price After Strong Multi Year Gains. If you are wondering whether Veolia Environnement at around €35.96 is offering good value right now, this article unpacks what the current price might be implying about the company. The stock has recently posted returns of 4.4% over 7 days, 14.5% over 30 days, 19.3% year to date, 30.8% over 1 year and 44.1% and 100.3% over 3 and 5 years respectively, which raises questions about how its current valuation stacks up. Recent news coverage around Veolia has focused on its position as a major..."
2026-02-28,FR0000124141,VIE,VEOLIA ENVIRON.,Simply Wall St.,https://finance.yahoo.com/news/look-veolia-environnement-valuation-earnings-081030530.html,"A Look At Veolia Environnement’s Valuation After Earnings Beat And New Global Contracts. Veolia Environnement (ENXTPA:VIE) is back in focus after reporting 2025 earnings above its own guidance, along with higher EBITDA margins, a proposed dividend increase, ambitious 2026 targets, and sizable new contracts in India and the UK. See our latest analysis for Veolia Environnement. The latest earnings beat, dividend proposal and long term water and waste contracts seem to have coincided with stronger momentum, with a 1 month share price return of 14.49% and a 1 year total shareholder..."
2026-02-28,FR0000133308,ORA,ORANGE,Simply Wall St.,https://finance.yahoo.com/news/orange-enxtpa-ora-valuation-check-071026726.html,"Orange (ENXTPA:ORA) Valuation Check As New Dividend Guidance And 2025 Results Shift Investor Expectations. Orange (ENXTPA:ORA) has been in focus after issuing dividend guidance for 2026 and beyond, while also reporting full year 2025 results that combined broadly steady sales with a sharp drop in net income. See our latest analysis for Orange. The share price reaction has been strong, with a 16.49% 1 month share price return and 28.19% 3 month share price return at €18.19. The 1 year total shareholder return of 66.65% and 5 year total shareholder return of 158.50% suggest momentum has been..."
2026-03-02,FR0000120628,CS,AXA,Simply Wall St.,https://finance.yahoo.com/news/look-axa-enxtpa-cs-valuation-080932076.html,"A Look At AXA (ENXTPA:CS) Valuation After Recent Share Price Momentum. AXA stock moves: why recent returns are catching investor attention AXA (ENXTPA:CS) has drawn fresh interest after a recent share price move, with the stock showing positive returns over the past week, month and past 3 months, prompting investors to reassess its current valuation. See our latest analysis for AXA. Set against a €41.46 share price, AXA’s recent momentum has been building, with a 30-day share price return of 7.88% sitting on top of a 1-year total shareholder return of 14.49% and..."
2026-03-05,FR0000125486,DG,VINCI,Simply Wall St.,https://finance.yahoo.com/news/vinci-enxtpa-dg-fairly-priced-141353932.html,"Is Vinci (ENXTPA:DG) Fairly Priced After Recent Infrastructure Project Headlines?. If you are wondering whether Vinci shares still offer value at around €134, you are not alone. Many investors are asking if the current price fairly reflects the business behind the ticker. The stock has had a mixed short term patch, with a 5.4% decline over the last 7 days, a 10.2% gain over 30 days, 10.7% year to date and 19.0% over 1 year. The 3 year and 5 year returns sit at 38.7% and 80.1% respectively. Recent headlines around Vinci have focused on its role in large infrastructure and..."
2026-03-08,FR0000125007,SGO,SAINT GOBAIN,Simply Wall St.,https://finance.yahoo.com/news/compagnie-saint-gobain-enxtpa-sgo-110736359.html,"Is Compagnie de Saint-Gobain (ENXTPA:SGO) Attractive After Recent Share Price Weakness?. If you are wondering whether Compagnie de Saint-Gobain is starting to look attractively priced, you are not alone and this article is built to help you assess that. The stock last closed at €74.06, with returns of a 14.1% decline over 7 days, a 16.2% decline over 30 days, a 14.9% decline year to date, but gains of 45.0% over 3 years and 72.4% over 5 years, which may leave you questioning what is already reflected in the price. Recent news coverage around Compagnie de Saint-Gobain has focused..."
2026-03-08,FR0000125007,SGO,SAINT GOBAIN,Simply Wall St.,https://finance.yahoo.com/news/assessing-saint-gobain-enxtpa-sgo-060802229.html,"Assessing Saint-Gobain (ENXTPA:SGO) Valuation After A Sharp Short Term Share Price Pullback. Compagnie de Saint-Gobain (ENXTPA:SGO) shares recently closed at €74.06, prompting investors to reassess the construction materials group’s recent share performance, valuation metrics, and how its global footprint might shape risk and opportunity. See our latest analysis for Compagnie de Saint-Gobain. That €74.06 share price comes after a sharp short term pullback, with a 7 day share price return of a 14.12% decline and a 30 day share price return of a 16.16% decline, set against a 5 year..."
2026-03-11,FR0000124141,VIE,VEOLIA ENVIRON.,Simply Wall St.,https://finance.yahoo.com/news/veolia-contracts-india-uk-add-061228756.html,"Veolia Contracts In India And UK Add Weight To Growth Narrative. Veolia Environnement has won contracts to build and operate two of Mumbai's largest water treatment plants, described as the largest municipal water deals signed by a French company in India. The group is also expanding hazardous waste and decarbonisation projects across India, extending its footprint in environmental services. In the UK, Veolia announced over £1b in new and renewed local authority contracts, including closed loop recycling and electrification projects. Veolia Environnement..."
2026-03-13,FR0000045072,ACA,CREDIT AGRICOLE,Retail Banker International,https://www.retailbankerinternational.com/news/credit-agricole-acquire-ukraine-bank-lviv/,"Crédit Agricole seals deal to acquire Ukraine-based Bank Lviv. Bank Lviv currently works with more than 37,000 individual clients and operates mainly in western Ukraine."
2026-03-14,FR0010220475,ALO,ALSTOM,Simply Wall St.,https://finance.yahoo.com/news/assessing-alstom-enxtpa-alo-valuation-170745748.html,"Assessing Alstom (ENXTPA:ALO) Valuation After Recent Share Price Weakness. Returns snapshot and recent performance Alstom (ENXTPA:ALO) has drawn attention after a mixed stretch for shareholders, with the stock showing a 3.3% decline over the past day and a 4.2% drop over the past week. Over the past month, the share price has fallen 21.7%, while the past 3 months show a 4.1% decline. Year to date, the stock is down 9.3%, and the 1 year total return is a 2.4% decline. See our latest analysis for Alstom. The recent 1 month share price return of 21.7% decline continues..."
